Date,Client,Time (microseconds)
2023-03-31T08:41:12.424Z,100,4000
2023-03-31T08:41:13.424Z,100,3360
2023-03-31T08:41:14.424Z,100,4070
2023-03-31T08:41:15.424Z,100,3870
2023-03-31T08:41:16.424Z,100,3380
2023-03-31T08:41:17.425Z,100,3730
2023-03-31T08:41:18.426Z,100,3070
2023-03-31T08:41:19.426Z,100,4700
2023-03-31T08:41:20.428Z,100,3410
2023-03-31T08:41:21.427Z,100,3850
2023-03-31T08:41:22.428Z,100,4320
2023-03-31T08:41:23.428Z,100,3570
2023-03-31T08:41:24.428Z,100,2860
2023-03-31T08:41:25.428Z,100,3140
2023-03-31T08:41:26.428Z,100,3560
2023-03-31T08:41:27.429Z,100,3460
2023-03-31T08:41:28.430Z,100,2870
2023-03-31T08:41:29.432Z,100,3250
2023-03-31T08:41:30.431Z,100,4300
2023-03-31T08:41:31.432Z,100,2900
2023-03-31T08:41:32.434Z,100,3460
2023-03-31T08:41:33.434Z,100,2950
2023-03-31T08:41:34.435Z,100,4290
2023-03-31T08:41:35.436Z,100,3780
2023-03-31T08:41:36.437Z,100,4860
2023-03-31T08:41:37.439Z,100,3350
2023-03-31T08:41:38.439Z,100,3470
2023-03-31T08:41:39.439Z,100,2960
2023-03-31T08:41:40.440Z,100,3250
2023-03-31T08:41:41.440Z,100,2830
2023-03-31T08:41:42.440Z,100,4680
2023-03-31T08:41:43.440Z,100,2990
2023-03-31T08:41:44.440Z,100,3380
2023-03-31T08:41:45.441Z,100,3110
2023-03-31T08:41:46.443Z,100,3700
2023-03-31T08:41:47.443Z,100,3110
2023-03-31T08:41:48.443Z,100,2920
2023-03-31T08:41:49.444Z,100,2610
2023-03-31T08:41:50.444Z,100,3410
2023-03-31T08:41:51.445Z,100,3630
2023-03-31T08:41:52.445Z,100,4040
2023-03-31T08:41:53.446Z,100,3390
2023-03-31T08:41:54.446Z,100,3830
2023-03-31T08:41:55.446Z,100,3270
2023-03-31T08:41:56.447Z,100,4950
2023-03-31T08:41:57.448Z,100,3650
2023-03-31T08:41:58.449Z,100,2920
2023-03-31T08:41:59.450Z,100,3650
2023-03-31T08:42:00.450Z,100,4680
2023-03-31T08:42:01.451Z,100,4230
2023-03-31T08:42:02.451Z,100,3770
2023-03-31T08:42:03.452Z,100,3600
2023-03-31T08:42:04.454Z,100,3030
2023-03-31T08:42:05.454Z,100,4310
2023-03-31T08:42:06.455Z,100,2660
2023-03-31T08:42:07.456Z,100,2820
2023-03-31T08:42:08.456Z,100,3560
2023-03-31T08:42:09.456Z,100,2920
2023-03-31T08:42:10.457Z,100,3480
2023-03-31T08:42:11.457Z,100,3510
2023-03-31T08:42:12.457Z,100,2740
2023-03-31T08:42:13.459Z,100,2470
2023-03-31T08:42:14.459Z,100,3200
2023-03-31T08:42:15.460Z,100,2910
2023-03-31T08:42:16.461Z,100,3590
2023-03-31T08:42:17.461Z,100,3180
2023-03-31T08:42:18.462Z,100,3540
2023-03-31T08:42:19.462Z,100,3670
2023-03-31T08:42:20.463Z,100,4050
2023-03-31T08:42:21.464Z,100,3100
2023-03-31T08:42:22.468Z,100,2480
2023-03-31T08:42:23.472Z,100,3050
2023-03-31T08:42:24.472Z,100,3790
2023-03-31T08:42:25.476Z,100,3470
